nameWithOwner,stargazerCount,stars_log10,classes_n,cbo_mean,cbo_median,cbo_std,dit_mean,dit_median,dit_std,lcom_mean,lcom_median,lcom_std
Snailclimb/JavaGuide,154501,5.188931294719277,3.0,2.333333333333333,0.0,4.041451884327381,1.0,1.0,0.0,14.333333333333334,0.0,24.826061575153908
krahets/hello-algo,124114,5.093820772472269,215.0,1.8744186046511628,2.0,1.512578571876796,1.0,1.0,0.0,4.706976744186046,1.0,10.457868194443543
GrowingGit/GitHub-Chinese-Top-Charts,107124,5.029886780821486,1.0,0.0,0.0,,1.0,1.0,,0.0,0.0,
iluwatar/java-design-patterns,93845,4.972411138648832,1990.0,3.369849246231156,3.0,2.616975844659318,1.1959798994974875,1.0,0.5294579407361238,1.8276381909547736,0.0,6.352470883406998
macrozheng/mall,83246,4.920363374674898,760.0,3.877631578947368,3.0,4.801956635796629,1.2394736842105265,1.0,0.4392108588021277,1110.803947368421,13.0,8155.555246123951
spring-projects/spring-boot,80311,4.904775033599012,13914.0,5.492238033635188,4.0,6.406640418424513,1.2889895069713957,1.0,0.7727931899853586,12.508911887307749,0.0,102.3590820876588
doocs/advanced-java,78922,4.897198082382968,1.0,0.0,0.0,,1.0,1.0,,0.0,0.0,
MisterBooo/LeetCodeAnimation,76702,4.88480668829891,4.0,0.75,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0
TheAlgorithms/Java,65288,4.814833364847876,1760.0,2.077272727272727,2.0,1.472794968548184,1.0386363636363636,1.0,0.2605071444285357,11.18068181818182,1.0,37.1598007533759
kdn251/interviews,64938,4.812498908830492,257.0,1.3891050583657587,1.0,1.294654717125719,1.0155642023346303,1.0,0.1240234225399436,0.2918287937743191,0.0,0.9293664686623516
spring-projects/spring-framework,59781,4.776563175521755,18747.0,5.267936203125833,3.0,6.851642864759697,1.4626873633114632,1.0,1.3892227000636552,29.497519603136503,0.0,273.52616926802546
termux/termux-app,52550,4.720572720364261,321.0,5.912772585669782,4.0,7.18713208458326,1.4299065420560748,1.0,0.7041681643885341,60.82554517133956,0.0,236.3712402565189
google/guava,51509,4.711883118533314,6040.0,4.323675496688741,2.0,5.914473147739304,1.8390728476821192,1.0,2.370877386267901,52.32069536423841,0.0,464.453049482455
ReactiveX/RxJava,48466,4.6854371779729735,11916.0,2.349697885196375,1.0,5.206711580405273,1.338452500839208,1.0,0.9651076298691668,47.536421617992616,0.0,1813.844313852929
skylot/jadx,47820,4.679609571779756,3079.0,4.536213056187074,3.0,6.9646772447962695,1.6011692107827216,1.0,1.210769814945314,32.29912309191296,0.0,317.34182028085394
jeecgboot/JeecgBoot,45594,4.658907694893854,911.0,7.251372118551043,4.0,9.358514709384776,1.176728869374314,1.0,0.4478847134222061,55.87047200878156,0.0,362.76348774267166
apache/dubbo,41711,4.620250601959854,4966.0,5.45569875151027,4.0,5.838817799705136,1.2913813934756344,1.0,0.7006501258977946,45.832460732984295,1.0,435.17996707994257
PhilJay/MPAndroidChart,38228,4.582381577336719,306.0,8.843137254901961,5.0,10.00663232327592,1.9803921568627447,1.0,1.2305967537333011,91.0326797385621,1.0,517.7972439225407
halo-dev/halo,38157,4.5815742220419535,1598.0,7.853566958698373,5.0,7.51103278137668,1.2578222778473092,1.0,0.6533844366034132,7.658322903629537,0.0,31.41955013101604
TeamNewPipe/NewPipe,37671,4.576007148971984,504.0,8.662698412698413,5.0,10.617950472052303,1.718253968253968,1.0,1.1454743376587353,47.87301587301587,1.0,249.401374240786
eugenp/tutorials,37348,4.572267350134817,24626.0,4.12166003411029,3.0,3.996879526677509,1.111345732153009,1.0,0.4213919406106771,5.870908795581905,0.0,40.046017498938966
alibaba/arthas,37215,4.57071802332789,1343.0,4.691734921816828,3.0,5.785560566726523,1.3633655994043188,1.0,0.7548539339617338,30.19657483246463,0.0,149.86948645032925
YunaiV/ruoyi-vue-pro,36058,4.557001634392705,3933.0,7.888634630053394,6.0,7.438408030654779,1.224002034070684,1.0,0.4412752628175544,16.201627256547166,0.0,494.6565665155416
geekxh/hello-algorithm,36038,4.556760680945611,3.0,1.3333333333333333,1.0,0.5773502691896257,1.0,1.0,0.0,0.0,0.0,0.0
doocs/leetcode,35829,4.554234687023423,171.0,2.6666666666666665,2.0,2.040761103694634,1.0058479532163742,1.0,0.0764719112901872,0.4444444444444444,0.0,1.302084803920738
airbnb/lottie-android,35603,4.551486594280516,291.0,6.965635738831615,5.0,8.348375096365453,1.288659793814433,1.0,0.6479478941364185,35.80068728522337,0.0,302.485374054296
ashishps1/awesome-system-design-resources,35594,4.551376796104808,11.0,0.8181818181818182,1.0,0.6030226891555273,1.0,1.0,0.0,0.0,0.0,0.0
bumptech/glide,35032,4.544464932184069,1528.0,5.9535340314136125,4.0,6.59064551676012,1.2303664921465969,1.0,0.7849730618115142,20.031413612565444,0.0,159.05236004695834
netty/netty,34900,4.54282542695918,7828.0,4.5028104241185485,3.0,5.870683196367619,1.5484159427695452,1.0,1.229334105471733,69.00153295861011,0.0,1152.5287303375264
SeleniumHQ/selenium,34187,4.533860991975016,2085.0,5.690647482014389,4.0,6.863680443135411,1.3601918465227818,1.0,1.008718215947808,33.48968824940048,0.0,285.3412519282238
