nameWithOwner,classes_n,cbo_mean,cbo_median,cbo_std,dit_mean,dit_median,dit_std,lcom_mean,lcom_median,lcom_std
Snailclimb/JavaGuide,3.0,2.3333333333333335,0.0,4.041451884327381,1.0,1.0,0.0,14.333333333333334,0.0,24.826061575153908
krahets/hello-algo,215.0,1.8744186046511628,2.0,1.512578571876796,1.0,1.0,0.0,4.706976744186046,1.0,10.457868194443543
GrowingGit/GitHub-Chinese-Top-Charts,1.0,0.0,0.0,,1.0,1.0,,0.0,0.0,
iluwatar/java-design-patterns,1990.0,3.369849246231156,3.0,2.616975844659318,1.1959798994974875,1.0,0.5294579407361238,1.8276381909547739,0.0,6.352470883406998
macrozheng/mall,760.0,3.8776315789473683,3.0,4.801956635796629,1.2394736842105263,1.0,0.43921085880212773,1110.803947368421,13.0,8155.555246123951
spring-projects/spring-boot,13914.0,5.4922380336351875,4.0,6.406640418424513,1.2889895069713957,1.0,0.7727931899853586,12.508911887307747,0.0,102.3590820876588
doocs/advanced-java,1.0,0.0,0.0,,1.0,1.0,,0.0,0.0,
MisterBooo/LeetCodeAnimation,4.0,0.75,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0
TheAlgorithms/Java,1760.0,2.077272727272727,2.0,1.472794968548184,1.0386363636363636,1.0,0.26050714442853573,11.180681818181819,1.0,37.1598007533759
kdn251/interviews,257.0,1.3891050583657587,1.0,1.294654717125719,1.0155642023346303,1.0,0.12402342253994364,0.2918287937743191,0.0,0.9293664686623517
spring-projects/spring-framework,18747.0,5.267936203125833,3.0,6.851642864759697,1.4626873633114632,1.0,1.3892227000636552,29.497519603136503,0.0,273.5261692680254
termux/termux-app,321.0,5.912772585669782,4.0,7.18713208458326,1.4299065420560748,1.0,0.7041681643885341,60.82554517133956,0.0,236.3712402565189
google/guava,6040.0,4.323675496688741,2.0,5.914473147739304,1.8390728476821192,1.0,2.370877386267901,52.32069536423841,0.0,464.453049482455
ReactiveX/RxJava,11916.0,2.349697885196375,1.0,5.206711580405273,1.3384525008392079,1.0,0.9651076298691669,47.536421617992616,0.0,1813.844313852929
skylot/jadx,3079.0,4.536213056187074,3.0,6.9646772447962695,1.6011692107827216,1.0,1.210769814945314,32.29912309191296,0.0,317.34182028085394
jeecgboot/JeecgBoot,911.0,7.251372118551043,4.0,9.358514709384776,1.1767288693743139,1.0,0.44788471342220615,55.87047200878156,0.0,362.76348774267166
apache/dubbo,4966.0,5.45569875151027,4.0,5.838817799705136,1.2913813934756344,1.0,0.7006501258977946,45.832460732984295,1.0,435.17996707994257
halo-dev/halo,1598.0,7.853566958698373,5.0,7.51103278137668,1.2578222778473092,1.0,0.6533844366034132,7.658322903629537,0.0,31.419550131016038
PhilJay/MPAndroidChart,306.0,8.843137254901961,5.0,10.006632323275921,1.9803921568627452,1.0,1.2305967537333011,91.0326797385621,1.0,517.7972439225407
